ALV-7012 CGS-12F Data, Single Run Data
Date :	"6/14/2022"
Time :	"2:06:01 PM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     685.00000
Angle(1)[°]     :	      44.00000
Angle(2)[°]     :	      50.00000
Angle(3)[°]     :	      64.00000
Angle(4)[°]     :	      81.00000
Angle(5)[°]     :	      99.00000
Angle(6)[°]     :	     117.00000
Angle(7)[°]     :	     134.00000
Angle(8)[°]     :	     147.00000
Angle(9)[°]     :	       0.00000
Angle(10)[°]     :	       0.00000
Angle(11)[°]     :	       0.00000
Angle(12)[°]     :	       0.00000
Duration [s]    :	           9.9
Runs            :	         1
Mode            :	"12 x AUTO 25 ns STC"
MeanCR1 [kHz]   :	     520.62238
MeanCR2 [kHz]   :	     433.79642
MeanCR3 [kHz]   :	     421.88300
MeanCR4 [kHz]   :	     432.12323
MeanCR5 [kHz]   :	      95.24142
MeanCR6 [kHz]   :	     200.70309
MeanCR7 [kHz]   :	     233.45338
MeanCR8 [kHz]   :	     348.29932
MeanCR9 [kHz]   :	       0.00000
MeanCR10 [kHz]   :	       0.00000
MeanCR11 [kHz]   :	       0.00000
MeanCR12 [kHz]   :	       0.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000
DC[9][kHz]      :	       0.00000
DC[10][kHz]      :	       0.00000
DC[11][kHz]      :	       0.00000
DC[12][kHz]      :	       0.00000

"Correlation"
  2.50000E-005	  4.37454E-001	 -5.91807E-001	  1.84086E-001	  1.76791E-001	 -4.58218E-001	 -5.76669E-001	 -5.95674E-001	  1.67856E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  5.00000E-005	  7.46062E-001	  4.78555E-001	  3.89110E-001	  3.89056E-001	  4.38340E-001	  7.31003E-001	  2.27349E-001	  2.68113E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  7.50000E-005	  6.88538E-001	  4.97770E-001	  3.73104E-001	  3.62064E-001	  3.52889E-001	  2.65460E-001	  2.03373E-001	  2.15726E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.00000E-004	  6.75542E-001	  4.92421E-001	  3.60244E-001	  3.53632E-001	  3.60942E-001	  5.70314E-001	  1.73365E-001	  1.80401E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.25000E-004	  6.79076E-001	  4.93004E-001	  3.59400E-001	  3.50111E-001	  3.54679E-001	  2.36143E-001	  1.64131E-001	  1.83445E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.50000E-004	  6.55914E-001	  5.05641E-001	  3.70983E-001	  3.42613E-001	  3.09046E-001	  4.60704E-001	  1.69790E-001	  1.70365E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  1.75000E-004	  6.57157E-001	  4.91041E-001	  3.49459E-001	  3.43678E-001	  3.09940E-001	  2.41382E-001	  1.56760E-001	  1.70198E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.00000E-004	  6.58324E-001	  4.85413E-001	  3.60586E-001	  3.45699E-001	  2.88913E-001	  3.84943E-001	  1.59142E-001	  1.79598E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.25000E-004	  6.63954E-001	  4.90092E-001	  3.47544E-001	  3.35528E-001	  3.05466E-001	  2.28587E-001	  1.82374E-001	  1.73576E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
  2.50000E-004	  6.51302E-001	  4.91559E-001	  3.45355E-001	  3.42591E-001	  3.16651E-001	  3.12306E-001	  1.69716E-001	  1.84749E-001	  0.00000E+000	  0.00000E+000	  0.00000E+000	  0.00000E+000
